term,proposed_topic,source_batch
Comb filtering in layered recordings,Recording & Studio Concepts,Batch 5
Transient capture,Recording & Studio Concepts,Batch 5
Source dynamics,Recording & Studio Concepts,Batch 5
Microphone overload,Recording & Studio Concepts,Batch 5
Preamplifier overload,Recording & Studio Concepts,Batch 5
Converter overload,Recording & Studio Concepts,Batch 5
Analog headroom versus digital headroom,Recording & Studio Concepts,Batch 5
Noise accumulation,Recording & Studio Concepts,Batch 5
Ground loops in recording systems,Recording & Studio Concepts,Batch 5
Cue-mix latency,Recording & Studio Concepts,Batch 5
Round-trip latency,Recording & Studio Concepts,Batch 5
Buffer-size tradeoffs,Recording & Studio Concepts,Batch 5
Sample-rate effects on latency,Recording & Studio Concepts,Batch 5
Editing at zero crossings,Recording & Studio Concepts,Batch 5
Crossfades,Recording & Studio Concepts,Batch 5
Phase-coherent editing,Recording & Studio Concepts,Batch 5
Elastic audio artifacts,Recording & Studio Concepts,Batch 5
Destructive versus nondestructive editing,Recording & Studio Concepts,Batch 5
Session sample-rate management,Recording & Studio Concepts,Batch 5
Clocking multiple digital devices,Recording & Studio Concepts,Batch 5
Impedance conversion,Recording & Studio Concepts,Batch 5
Direct injection,Recording & Studio Concepts,Batch 5
Instrument-level versus line-level signals,Recording & Studio Concepts,Batch 5
Ground lifting and electrical safety,Recording & Studio Concepts,Batch 5
Perspective,Mixing Concepts,Batch 5
Height perception,Mixing Concepts,Batch 5
Level masking,Mixing Concepts,Batch 5
Arrangement masking,Mixing Concepts,Batch 5
Tonal hierarchy,Mixing Concepts,Batch 5
Dynamic hierarchy,Mixing Concepts,Batch 5
Transient hierarchy,Mixing Concepts,Batch 5
Center-image management,Mixing Concepts,Batch 5
Low-frequency mono compatibility,Mixing Concepts,Batch 5
Stereo decorrelation,Mixing Concepts,Batch 5
Phase-based widening,Mixing Concepts,Batch 5
Haas-based widening,Mixing Concepts,Batch 5
Artificial double tracking,Mixing Concepts,Batch 5
Mid/side equalization,Mixing Concepts,Batch 5
Mid/side compression,Mixing Concepts,Batch 5
Serial processing,Mixing Concepts,Batch 5
Processor-order interaction,Mixing Concepts,Batch 5
Pre-emphasis and de-emphasis,Mixing Concepts,Batch 5
Sidechain routing,Mixing Concepts,Batch 5
Bus compression,Mixing Concepts,Batch 5
Mix-bus headroom,Mixing Concepts,Batch 5
Summing,Mixing Concepts,Batch 5
Relative versus absolute level,Mixing Concepts,Batch 5
Loudness matching for comparison,Mixing Concepts,Batch 5
Ear fatigue,Mixing Concepts,Batch 5
Reference tracks,Mixing Concepts,Batch 5
Monitoring level,Mixing Concepts,Batch 5
Translation across playback systems,Mixing Concepts,Batch 5
Room influence on mix decisions,Mixing Concepts,Batch 5
Frequency balance versus perceived balance,Mixing Concepts,Batch 5
Transient density,Mixing Concepts,Batch 5
Reverberant density,Mixing Concepts,Batch 5
Cohesion,Mixing Concepts,Batch 5
Weight,Mixing Concepts,Batch 5
Perceptual descriptors versus measurable properties,Mixing Concepts,Batch 5
Room size as a perceptual parameter,Reverb & Delay (Concepts),Batch 5
Algorithmic reverberation,Reverb & Delay (Concepts),Batch 5
Convolution reverberation,Reverb & Delay (Concepts),Batch 5
Impulse-response capture,Reverb & Delay (Concepts),Batch 5
Time variance in natural spaces,Reverb & Delay (Concepts),Batch 5
Static versus modulated reverb,Reverb & Delay (Concepts),Batch 5
Plate-reverb behavior,Reverb & Delay (Concepts),Batch 5
Spring-reverb behavior,Reverb & Delay (Concepts),Batch 5
Chamber-reverb behavior,Reverb & Delay (Concepts),Batch 5
Reverb predelay and source distance,Reverb & Delay (Concepts),Batch 5
Reverb masking,Reverb & Delay (Concepts),Batch 5
Reverb ducking,Reverb & Delay (Concepts),Batch 5
Delay filtering,Reverb & Delay (Concepts),Batch 5
Note-value delay,Reverb & Delay (Concepts),Batch 5
Dotted and triplet delays,Reverb & Delay (Concepts),Batch 5
Slap delay,Reverb & Delay (Concepts),Batch 5
Comb filtering in short delays,Reverb & Delay (Concepts),Batch 5
Delay-line interpolation,Reverb & Delay (Concepts),Batch 5
Doppler effects during delay modulation,Reverb & Delay (Concepts),Batch 5
Feedback stability in delay networks,Reverb & Delay (Concepts),Batch 5
Low-frequency oscillation,Modulation & Synthesis,Batch 5
Sideband formation,Modulation & Synthesis,Batch 5
Carrier suppression,Modulation & Synthesis,Batch 5
Through-zero modulation,Modulation & Synthesis,Batch 5
Frequency-modulation index,Modulation & Synthesis,Batch 5
Bessel-function sideband behavior,Modulation & Synthesis,Batch 5
Modal synthesis,Modulation & Synthesis,Batch 5
Vector synthesis,Modulation & Synthesis,Batch 5
Spectral synthesis,Modulation & Synthesis,Batch 5
Formant synthesis,Modulation & Synthesis,Batch 5
Convolution synthesis,Modulation & Synthesis,Batch 5
Phase-distortion synthesis,Modulation & Synthesis,Batch 5
Aliasing in digital oscillators,Modulation & Synthesis,Batch 5
Band-limited oscillator generation,Modulation & Synthesis,Batch 5
Oscillator synchronization,Modulation & Synthesis,Batch 5
Soft sync,Modulation & Synthesis,Batch 5
Envelope generators,Modulation & Synthesis,Batch 5
Attack-decay-sustain-release behavior,Modulation & Synthesis,Batch 5
Control-rate versus audio-rate modulation,Modulation & Synthesis,Batch 5
Tuning systems,Modulation & Synthesis,Batch 5
Microtuning,Modulation & Synthesis,Batch 5
Control smoothing,Modulation & Synthesis,Batch 5
Parameter zipper noise,Modulation & Synthesis,Batch 5
Harmonic excitation,Musical Instrument Acoustics,Batch 5
Resonating body,Musical Instrument Acoustics,Batch 5
Standing waves on strings,Musical Instrument Acoustics,Batch 5
Open-string and stopped-string behavior,Musical Instrument Acoustics,Batch 5
String modes,Musical Instrument Acoustics,Batch 5
String stiffness and inharmonicity,Musical Instrument Acoustics,Batch 5
Pluck position and harmonic content,Musical Instrument Acoustics,Batch 5
Bowing excitation,Musical Instrument Acoustics,Batch 5
Air-column resonance,Musical Instrument Acoustics,Batch 5
Open and closed pipes,Musical Instrument Acoustics,Batch 5
End correction,Musical Instrument Acoustics,Batch 5
Register changes,Musical Instrument Acoustics,Batch 5
Reed oscillation,Musical Instrument Acoustics,Batch 5
Lip-reed oscillation,Musical Instrument Acoustics,Batch 5
Bore shape,Musical Instrument Acoustics,Batch 5
Cylindrical versus conical bores,Musical Instrument Acoustics,Batch 5
Tone holes,Musical Instrument Acoustics,Batch 5
Bell radiation,Musical Instrument Acoustics,Batch 5
Brass directivity,Musical Instrument Acoustics,Batch 5
Woodwind directivity,Musical Instrument Acoustics,Batch 5
Membrane modes,Musical Instrument Acoustics,Batch 5
Drumhead overtones,Musical Instrument Acoustics,Batch 5
Coupled drumheads,Musical Instrument Acoustics,Batch 5
Snare-wire response,Musical Instrument Acoustics,Batch 5
Cymbal modes,Musical Instrument Acoustics,Batch 5
Inharmonic percussion spectra,Musical Instrument Acoustics,Batch 5
Piano-string inharmonicity,Musical Instrument Acoustics,Batch 5
Soundboard coupling,Musical Instrument Acoustics,Batch 5
Sympathetic string resonance,Musical Instrument Acoustics,Batch 5
Pickup placement,Musical Instrument Acoustics,Batch 5
Magnetic pickup aperture,Musical Instrument Acoustics,Batch 5
Instrument body modes,Musical Instrument Acoustics,Batch 5
Wolf tones,Musical Instrument Acoustics,Batch 5
Formants in musical instruments,Musical Instrument Acoustics,Batch 5
Vocal-fold vibration,Speech & Voice,Batch 5
Source-filter theory,Speech & Voice,Batch 5
Fundamental frequency of voice,Speech & Voice,Batch 5
Vocal harmonics,Speech & Voice,Batch 5
Formants,Speech & Voice,Batch 5
Vocal-tract resonances,Speech & Voice,Batch 5
Vowel formation,Speech & Voice,Batch 5
Consonant formation,Speech & Voice,Batch 5
Voiced versus unvoiced speech,Speech & Voice,Batch 5
Plosives,Speech & Voice,Batch 5
Fricatives,Speech & Voice,Batch 5
Glottal pulse,Speech & Voice,Batch 5
Pitch versus formant,Speech & Voice,Batch 5
Pitch shifting without formant correction,Speech & Voice,Batch 5
Vocal proximity effect,Speech & Voice,Batch 5
Consonant-to-vowel balance,Speech & Voice,Batch 5
Vocal dynamic range,Speech & Voice,Batch 5
Voice onset,Speech & Voice,Batch 5
Vocal fry,Speech & Voice,Batch 5
Falsetto,Speech & Voice,Batch 5
Chest and head registration,Speech & Voice,Batch 5
Comb filtering from podium or desk reflections,Speech & Voice,Batch 5
Plosive control,Speech & Voice,Batch 5
Dialogue matching,Speech & Voice,Batch 5
Room-tone continuity,Speech & Voice,Batch 5
Frequency identification,Critical Listening & Perception,Batch 5
Level-difference identification,Critical Listening & Perception,Batch 5
Delay identification,Critical Listening & Perception,Batch 5
Phase-change audibility,Critical Listening & Perception,Batch 5
Distortion identification,Critical Listening & Perception,Batch 5
Compression identification,Critical Listening & Perception,Batch 5
Attack and release recognition,Critical Listening & Perception,Batch 5
Reverb-time recognition,Critical Listening & Perception,Batch 5
Predelay recognition,Critical Listening & Perception,Batch 5
Early-reflection recognition,Critical Listening & Perception,Batch 5
Noise-color identification,Critical Listening & Perception,Batch 5
Clipping recognition,Critical Listening & Perception,Batch 5
Aliasing recognition,Critical Listening & Perception,Batch 5
Quantization-distortion recognition,Critical Listening & Perception,Batch 5
Codec-artifact recognition,Critical Listening & Perception,Batch 5
Resonance identification,Critical Listening & Perception,Batch 5
Comb-filter identification,Critical Listening & Perception,Batch 5
Polarity-error recognition,Critical Listening & Perception,Batch 5
Spectral-tilt recognition,Critical Listening & Perception,Batch 5
Bandwidth limitation,Critical Listening & Perception,Batch 5
High-pass and low-pass recognition,Critical Listening & Perception,Batch 5
Bell-filter frequency recognition,Critical Listening & Perception,Batch 5
Q-factor recognition,Critical Listening & Perception,Batch 5
Masking recognition,Critical Listening & Perception,Batch 5
Stereo-width recognition,Critical Listening & Perception,Batch 5
Image-position recognition,Critical Listening & Perception,Batch 5
Depth recognition,Critical Listening & Perception,Batch 5
Room-size perception,Critical Listening & Perception,Batch 5
Direct-to-reverberant balance,Critical Listening & Perception,Batch 5
Loudness matching,Critical Listening & Perception,Batch 5
Anchoring bias,Critical Listening & Perception,Batch 5
Order effects in listening tests,Critical Listening & Perception,Batch 5
Memory limitations in audio comparison,Critical Listening & Perception,Batch 5
Training transfer,Critical Listening & Perception,Batch 5
Controlled listening-test design,Critical Listening & Perception,Batch 5
ABX testing,Critical Listening & Perception,Batch 5
Double-blind testing,Critical Listening & Perception,Batch 5
Statistical significance,Critical Listening & Perception,Batch 5
Practical significance,Critical Listening & Perception,Batch 5
Preference versus detection,Critical Listening & Perception,Batch 5
Sound-pressure exposure,Audio Safety (Concepts),Batch 5
Exposure duration,Audio Safety (Concepts),Batch 5
Dose calculation,Audio Safety (Concepts),Batch 5
Peak versus continuous exposure,Audio Safety (Concepts),Batch 5
Hidden hearing damage,Audio Safety (Concepts),Batch 5
Ototoxic exposure,Audio Safety (Concepts),Batch 5
Individual susceptibility,Audio Safety (Concepts),Batch 5
Earplug attenuation,Audio Safety (Concepts),Batch 5
Real-world versus labeled attenuation,Audio Safety (Concepts),Batch 5
Fit testing,Audio Safety (Concepts),Batch 5
Bone-conduction limits of hearing protection,Audio Safety (Concepts),Batch 5
In-ear-monitor exposure,Audio Safety (Concepts),Batch 5
Headphone-output uncertainty,Audio Safety (Concepts),Batch 5
Equal-loudness effects on monitoring decisions,Audio Safety (Concepts),Batch 5
Feedback hazards,Audio Safety (Concepts),Batch 5
Impulse-noise hazards,Audio Safety (Concepts),Batch 5
Electrical shock risk,Audio Safety (Concepts),Batch 5
Phantom-power hazards,Audio Safety (Concepts),Batch 5
Grounding safety,Audio Safety (Concepts),Batch 5
Mains isolation,Audio Safety (Concepts),Batch 5
Rigging and suspended-load safety,Audio Safety (Concepts),Batch 5
Loudspeaker tip-over risk,Audio Safety (Concepts),Batch 5
Cable-trip hazards,Audio Safety (Concepts),Batch 5
Battery thermal hazards,Audio Safety (Concepts),Batch 5
Laser and optical-audio-system hazards,Audio Safety (Concepts),Batch 5
Safe test-tone levels,Audio Safety (Concepts),Batch 5
Ultrasonic exposure considerations,Audio Safety (Concepts),Batch 5
Symptom versus cause,Troubleshooting Concepts,Batch 5
Signal-flow tracing,Troubleshooting Concepts,Batch 5
Divide-and-conquer troubleshooting,Troubleshooting Concepts,Batch 5
Substitution testing,Troubleshooting Concepts,Batch 5
Known-good references,Troubleshooting Concepts,Batch 5
Input versus output fault isolation,Troubleshooting Concepts,Batch 5
Intermittent faults,Troubleshooting Concepts,Batch 5
Thermal faults,Troubleshooting Concepts,Batch 5
Mechanical faults,Troubleshooting Concepts,Batch 5
Ground faults,Troubleshooting Concepts,Batch 5
Clocking faults,Troubleshooting Concepts,Batch 5
Polarity mismatch,Troubleshooting Concepts,Batch 5
Phase misalignment,Troubleshooting Concepts,Batch 5
Gain-structure faults,Troubleshooting Concepts,Batch 5
Clipping-point identification,Troubleshooting Concepts,Batch 5
Noise-source localization,Troubleshooting Concepts,Batch 5
Hum-frequency diagnosis,Troubleshooting Concepts,Batch 5
Buzz-harmonic diagnosis,Troubleshooting Concepts,Batch 5
Capacitive coupling,Troubleshooting Concepts,Batch 5
Inductive coupling,Troubleshooting Concepts,Batch 5
Ground-loop diagnosis,Troubleshooting Concepts,Batch 5
Shield-current problems,Troubleshooting Concepts,Batch 5
Pin-1 problems,Troubleshooting Concepts,Batch 5
Load instability,Troubleshooting Concepts,Batch 5
Amplifier protection modes,Troubleshooting Concepts,Batch 5
Loudspeaker polarity testing,Troubleshooting Concepts,Batch 5
Driver failure detection,Troubleshooting Concepts,Batch 5
Cable-continuity testing,Troubleshooting Concepts,Batch 5
Balanced-line testing,Troubleshooting Concepts,Batch 5
Network-audio packet loss,Troubleshooting Concepts,Batch 5
Clock-master conflict,Troubleshooting Concepts,Batch 5
Buffer and latency faults,Troubleshooting Concepts,Batch 5
Firmware and configuration mismatch,Troubleshooting Concepts,Batch 5
Measurement-tool misuse,Troubleshooting Concepts,Batch 5
Confirmation bias in troubleshooting,Troubleshooting Concepts,Batch 5
Logarithms,Math & Physics for Audio,Batch 5
Exponents,Math & Physics for Audio,Batch 5
Scientific notation,Math & Physics for Audio,Batch 5
Ratios,Math & Physics for Audio,Batch 5
Proportionality,Math & Physics for Audio,Batch 5
Inverse-square relationships,Math & Physics for Audio,Batch 5
Complex numbers,Math & Physics for Audio,Batch 5
Phasors,Math & Physics for Audio,Batch 5
Vectors,Math & Physics for Audio,Batch 5
Scalar versus vector quantities,Math & Physics for Audio,Batch 5
Dot products,Math & Physics for Audio,Batch 5
Cross products,Math & Physics for Audio,Batch 5
Coordinate systems,Math & Physics for Audio,Batch 5
Polar coordinates,Math & Physics for Audio,Batch 5
Spherical coordinates,Math & Physics for Audio,Batch 5
Trigonometric functions,Math & Physics for Audio,Batch 5
Sine and cosine relationships,Math & Physics for Audio,Batch 5
Radians versus degrees,Math & Physics for Audio,Batch 5
Differential equations,Math & Physics for Audio,Batch 5
Differentiation,Math & Physics for Audio,Batch 5
Fourier transforms,Math & Physics for Audio,Batch 5
Laplace transforms,Math & Physics for Audio,Batch 5
Z-transforms,Math & Physics for Audio,Batch 5
